10:49:01:49, Waitress fetched customer 0
10:49:01:58, Waitress fetched customer 1
10:49:01:177, Waitress fetched customer 2
10:49:01:187, Customer 0 is ordering sushi. 

10:49:01:192, Customer 1 is ordering sushi. 

10:49:01:243, Customer 2 is ordering sushi. 

10:49:01:299, Waitress fetched customer 3
10:49:01:371, Customer 3 is ordering sushi. 

10:49:01:427, Waitress fetched customer 4
10:49:01:540, Customer 4 is ordering sushi. 

10:49:01:546, Waitress fetched customer 5
10:49:01:624, Customer 5 is ordering sushi. 

10:49:01:670, Waitress fetched customer 6
10:49:01:741, Customer 6 is ordering sushi. 

10:49:03:700, Customer 0 is done eating. 

10:49:03:701, Customer 1 is done eating. 

10:49:03:749, Customer 2 is done eating. 

10:49:03:885, Customer 3 is done eating. 

10:49:04:63, Customer 4 is done eating. 

10:49:04:128, Customer 5 is done eating. 

10:49:04:249, Customer 6 is done eating. 

10:49:21:334, Waitress fetched customer 0
10:49:21:378, Waitress fetched customer 1
10:49:21:441, Customer 0 is ordering sushi.
10:49:21:445, Customer 1 is ordering sushi.
10:49:21:499, Waitress fetched customer 2
10:49:21:565, Customer 2 is ordering sushi.
10:49:21:620, Waitress fetched customer 3
10:49:21:683, Customer 3 is ordering sushi.
10:49:21:741, Waitress fetched customer 4
10:49:21:806, Customer 4 is ordering sushi.
10:49:21:861, Waitress fetched customer 5
10:49:21:925, Customer 5 is ordering sushi.
10:49:21:982, Waitress fetched customer 6
10:49:22:47, Customer 6 is ordering sushi.
10:49:23:955, Customer 1 is done eating.
10:49:23:958, Customer 0 is done eating.
10:49:24:69, Customer 2 is done eating.
10:49:24:187, Customer 3 is done eating.
10:49:24:313, Customer 4 is done eating.
10:49:24:429, Customer 5 is done eating.
10:49:24:552, Customer 6 is done eating.
10:50:22:39, Waitress fetched customer 0
10:50:21:994, Door added customer.
10:50:22:115, Customer 0 is ordering sushi.
10:50:22:181, Waitress fetched customer 1
10:50:22:183, Door added customer.
10:50:22:244, Customer 1 is ordering sushi.
10:50:22:313, Waitress fetched customer 2
10:50:22:313, Door added customer.
10:50:22:379, Customer 2 is ordering sushi.
10:50:22:438, Waitress fetched customer 3
10:50:22:440, Door added customer.
10:50:22:505, Customer 3 is ordering sushi.
10:50:22:568, Waitress fetched customer 4
10:50:22:568, Door added customer.
10:50:22:630, Customer 4 is ordering sushi.
10:50:22:691, Door added customer.
10:50:22:692, Waitress fetched customer 5
10:50:22:757, Customer 5 is ordering sushi.
10:50:22:817, Door added customer.
10:50:22:817, Waitress fetched customer 6
10:50:22:881, Customer 6 is ordering sushi.
10:50:22:940, Door added customer.
10:50:23:63, Door added customer.
10:50:23:185, Door added customer.
10:50:23:307, Door added customer.
10:50:23:429, Door added customer.
10:50:23:554, Door added customer.
10:50:23:678, Door added customer.
10:50:23:801, Door added customer.
10:50:23:925, Door added customer.
10:50:24:48, Door added customer.
10:50:24:170, Door added customer.
10:50:24:293, Door added customer.
10:50:24:415, Door added customer.
10:50:24:537, Door added customer.
10:50:24:621, Customer 0 is done eating.
10:50:24:660, Door added customer.
10:50:24:749, Customer 1 is done eating.
10:50:24:783, Door added customer.
10:50:24:883, Customer 2 is done eating.
10:50:24:906, Door added customer.
10:50:25:15, Customer 3 is done eating.
10:50:25:33, Door added customer.
10:50:25:134, Customer 4 is done eating.
